               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082952,            0.045873,            0.061325,           0.0001694,          0.00066477,          8.6786e-05,           1.498e-05,            0.082241,            0.040808,            0.060638,             0.07011,           0.0033211,           0.0033211
                   1,            0.077109,            0.047647,            0.058269,            0.001852,            0.015511,            0.001137,          0.00027736,            0.075542,            0.041621,            0.054872,            0.040044,           0.0065886,           0.0065886
                   2,            0.071711,            0.049441,            0.053234,           0.0031801,            0.035737,           0.0026637,          0.00061421,            0.074403,            0.042974,            0.051737,           0.0099121,             0.00979,             0.00979
                   3,            0.071072,            0.049482,            0.051936,           0.0031358,              0.0335,           0.0022453,          0.00065149,            0.066642,            0.043829,            0.050052,            0.009703,            0.009703,            0.009703
                   4,            0.071064,            0.051095,             0.05228,           0.0050056,            0.049495,           0.0042687,            0.001298,            0.066438,            0.044672,            0.049584,            0.009703,            0.009703,            0.009703
                   5,            0.065217,            0.051618,            0.051096,           0.0042555,            0.048528,           0.0042558,           0.0013554,            0.066919,             0.04355,            0.049125,            0.009604,            0.009604,            0.009604
                   6,            0.064159,            0.048434,             0.04951,           0.0050741,            0.052722,           0.0050462,             0.00165,            0.062893,             0.04452,            0.048734,            0.009505,            0.009505,            0.009505
                   7,            0.060796,             0.05017,            0.048279,           0.0062229,            0.057603,           0.0080204,           0.0024185,            0.060399,            0.045093,            0.047709,            0.009406,            0.009406,            0.009406
                   8,            0.062293,             0.04877,            0.048344,           0.0088729,            0.072142,            0.012296,           0.0044922,            0.058895,            0.044224,            0.046897,            0.009307,            0.009307,            0.009307
                   9,               0.061,            0.049545,            0.048095,           0.0086217,            0.079126,            0.013505,           0.0047005,            0.059262,            0.044116,            0.046697,            0.009208,            0.009208,            0.009208
                  10,            0.059465,            0.048717,              0.0477,             0.53616,            0.076071,            0.017973,           0.0063601,            0.057983,            0.044468,            0.046056,            0.009109,            0.009109,            0.009109
                  11,            0.059009,            0.047537,            0.046552,             0.56073,            0.077464,            0.018511,           0.0059346,            0.056972,             0.04463,            0.045353,             0.00901,             0.00901,             0.00901
                  12,            0.058389,            0.049207,            0.046283,             0.59037,            0.063984,            0.022896,           0.0081269,            0.056707,            0.047156,            0.044923,            0.008911,            0.008911,            0.008911
                  13,            0.057397,            0.047318,            0.046039,             0.61646,            0.066538,            0.027726,            0.010127,            0.055986,              0.0451,            0.044187,            0.008812,            0.008812,            0.008812
                  14,             0.05689,            0.048647,            0.044823,             0.63794,            0.059517,            0.027933,           0.0099541,            0.057106,            0.045405,            0.043696,            0.008713,            0.008713,            0.008713
                  15,            0.055409,            0.047198,            0.043598,             0.63539,             0.06337,            0.033483,            0.012315,            0.055033,            0.046617,            0.042837,            0.008614,            0.008614,            0.008614
                  16,            0.055695,            0.047602,            0.043777,             0.64742,            0.065895,            0.034883,            0.012985,            0.055605,            0.046528,             0.04239,            0.008515,            0.008515,            0.008515
                  17,            0.055046,            0.048146,            0.043388,              0.5865,            0.075349,            0.039368,            0.014776,            0.055343,            0.048024,            0.041515,            0.008416,            0.008416,            0.008416
                  18,            0.053858,            0.046381,            0.041179,             0.60952,            0.077182,            0.040544,            0.014912,            0.054727,            0.047218,            0.041474,            0.008317,            0.008317,            0.008317
                  19,            0.055595,            0.046143,             0.04179,             0.58281,            0.088507,            0.046992,            0.018493,            0.054804,            0.048596,             0.04097,            0.008218,            0.008218,            0.008218
                  20,              0.0554,            0.045223,            0.041581,             0.57557,            0.077273,            0.042312,            0.014504,            0.055352,            0.050089,            0.040557,            0.008119,            0.008119,            0.008119
                  21,            0.054218,            0.047336,            0.041019,              0.5817,            0.088497,            0.050991,            0.018079,            0.053897,            0.050102,            0.040014,             0.00802,             0.00802,             0.00802
                  22,            0.053858,            0.046503,            0.041656,             0.57561,            0.087175,            0.049786,            0.015871,            0.054948,            0.047975,            0.039448,            0.007921,            0.007921,            0.007921
                  23,            0.054364,            0.046733,            0.040573,             0.57734,            0.094546,            0.053144,            0.019467,            0.054228,            0.049208,             0.03926,            0.007822,            0.007822,            0.007822
                  24,            0.054063,            0.046042,            0.039772,             0.58255,            0.096373,            0.057907,             0.02125,            0.054567,            0.049401,            0.038982,            0.007723,            0.007723,            0.007723
                  25,            0.053728,            0.044647,            0.038668,             0.51937,             0.11171,            0.067747,            0.025415,            0.055568,            0.049615,            0.038111,            0.007624,            0.007624,            0.007624
                  26,            0.053337,            0.043255,            0.038347,             0.58325,            0.099342,            0.065854,             0.02508,            0.054607,            0.050461,            0.037545,            0.007525,            0.007525,            0.007525
                  27,            0.052372,             0.04346,            0.037068,             0.50787,             0.11151,            0.068459,            0.026443,            0.054788,            0.052437,            0.037886,            0.007426,            0.007426,            0.007426
                  28,            0.053168,            0.045992,            0.037352,             0.56133,             0.11093,             0.07436,            0.029366,            0.054886,            0.053454,            0.037377,            0.007327,            0.007327,            0.007327
                  29,            0.052908,            0.043368,            0.036675,             0.50732,             0.12703,            0.077266,            0.030315,            0.054733,            0.048884,             0.03717,            0.007228,            0.007228,            0.007228
                  30,            0.052869,            0.044053,            0.036524,             0.50052,             0.12539,            0.080695,            0.032851,            0.054547,             0.05073,            0.036464,            0.007129,            0.007129,            0.007129
                  31,            0.053456,            0.046074,            0.035484,             0.46787,              0.1375,            0.078275,            0.029955,             0.05515,            0.051464,            0.036898,             0.00703,             0.00703,             0.00703
                  32,            0.051701,            0.044779,            0.033853,             0.50172,             0.13947,            0.080727,            0.032031,            0.054807,            0.052483,            0.036528,            0.006931,            0.006931,            0.006931
                  33,             0.05228,            0.044961,             0.03413,             0.51157,              0.1446,            0.089691,            0.036216,            0.055813,            0.052348,            0.036388,            0.006832,            0.006832,            0.006832
                  34,            0.052323,            0.044605,            0.033337,             0.47106,             0.15018,            0.088004,            0.035019,            0.054954,            0.052051,            0.036565,            0.006733,            0.006733,            0.006733
                  35,            0.053762,            0.044904,            0.033628,              0.4112,             0.15858,            0.091275,            0.036189,            0.055684,            0.053447,            0.035618,            0.006634,            0.006634,            0.006634
                  36,            0.053309,            0.044031,            0.032322,             0.42938,             0.14905,            0.098314,            0.039524,            0.054367,             0.05407,             0.03383,            0.006535,            0.006535,            0.006535
                  37,            0.051665,            0.043385,            0.031094,             0.40909,             0.15471,            0.096216,             0.03928,             0.05561,            0.054577,            0.035152,            0.006436,            0.006436,            0.006436
                  38,             0.05133,            0.041711,            0.030168,             0.42631,              0.1591,             0.10223,            0.042155,            0.054527,             0.05314,            0.033446,            0.006337,            0.006337,            0.006337
                  39,            0.051046,            0.042753,            0.030401,             0.44072,             0.15504,            0.097294,            0.034545,            0.055485,             0.05221,            0.033931,            0.006238,            0.006238,            0.006238
                  40,            0.053263,            0.042656,            0.030572,             0.45486,             0.16048,             0.10902,            0.040583,            0.053598,            0.052616,            0.032097,            0.006139,            0.006139,            0.006139
                  41,            0.049865,            0.041366,            0.029039,             0.40303,             0.15924,             0.10395,            0.039009,            0.055024,            0.055566,            0.036109,             0.00604,             0.00604,             0.00604
                  42,             0.05302,            0.041556,             0.02943,             0.40959,             0.16492,             0.10226,            0.037311,            0.055199,            0.054641,            0.034123,            0.005941,            0.005941,            0.005941
                  43,            0.051284,            0.043594,            0.029268,             0.37302,             0.17638,             0.12225,            0.051075,            0.053967,             0.05525,            0.033968,            0.005842,            0.005842,            0.005842
                  44,            0.050729,            0.042174,             0.02858,             0.36136,             0.18731,             0.12633,            0.053527,            0.054784,            0.056316,             0.03301,            0.005743,            0.005743,            0.005743
                  45,            0.051353,            0.042175,            0.028102,             0.38096,             0.17705,             0.11979,             0.04636,            0.054076,            0.055289,            0.031461,            0.005644,            0.005644,            0.005644
                  46,            0.051868,            0.042443,            0.028369,             0.38307,             0.19121,             0.12584,            0.051288,            0.053581,            0.055786,            0.033319,            0.005545,            0.005545,            0.005545
                  47,            0.051483,            0.042645,            0.027045,             0.39381,             0.20622,             0.13574,            0.061097,            0.053163,            0.054117,            0.031262,            0.005446,            0.005446,            0.005446
                  48,            0.051757,            0.040107,            0.026246,             0.36802,             0.19758,              0.1329,            0.057643,            0.053683,            0.054109,            0.033349,            0.005347,            0.005347,            0.005347
                  49,            0.051012,            0.041368,            0.026023,             0.36337,             0.19599,             0.13506,            0.059709,            0.053755,            0.055913,            0.033809,            0.005248,            0.005248,            0.005248
                  50,            0.049974,            0.041163,            0.025066,             0.36176,             0.20682,             0.13675,             0.05984,            0.054693,            0.056473,            0.031679,            0.005149,            0.005149,            0.005149
                  51,            0.050377,            0.043215,            0.026371,             0.37725,             0.19209,             0.14421,            0.064069,            0.053666,            0.056417,            0.032122,             0.00505,             0.00505,             0.00505
                  52,            0.051034,            0.041545,            0.024911,             0.37198,             0.20434,             0.14487,            0.063046,            0.053761,              0.0555,            0.031456,            0.004951,            0.004951,            0.004951
                  53,            0.051432,            0.041836,            0.024553,             0.44101,             0.18716,             0.14566,            0.061584,            0.053485,            0.055696,            0.030587,            0.004852,            0.004852,            0.004852
                  54,             0.04964,            0.041869,            0.024421,             0.40641,              0.1927,             0.14103,            0.063092,            0.053818,            0.056465,            0.032102,            0.004753,            0.004753,            0.004753
                  55,            0.049817,            0.039212,            0.023958,             0.39088,             0.19261,             0.14958,            0.069212,            0.053656,             0.05564,            0.031759,            0.004654,            0.004654,            0.004654
                  56,            0.049612,            0.041965,            0.023242,             0.38102,             0.19154,             0.14146,            0.057659,            0.054228,            0.056417,            0.031132,            0.004555,            0.004555,            0.004555
                  57,            0.051603,            0.040557,            0.023865,             0.38451,             0.20676,             0.15111,            0.069957,            0.053056,            0.058431,            0.031583,            0.004456,            0.004456,            0.004456
                  58,            0.051666,            0.041193,            0.023759,             0.39409,             0.21132,             0.15839,            0.069593,            0.054143,            0.058172,            0.030743,            0.004357,            0.004357,            0.004357
                  59,            0.049368,            0.040147,            0.022439,             0.38626,             0.21487,             0.15749,            0.071352,            0.054261,            0.056486,            0.032359,            0.004258,            0.004258,            0.004258
                  60,            0.049075,            0.040794,            0.022665,             0.37273,             0.21899,             0.15591,            0.070582,            0.053648,            0.056371,            0.032234,            0.004159,            0.004159,            0.004159
                  61,            0.050106,             0.04359,            0.022299,             0.39727,              0.2135,             0.16279,            0.075039,            0.052968,            0.057176,            0.031001,             0.00406,             0.00406,             0.00406
                  62,            0.049094,            0.041726,            0.022083,             0.36554,             0.21164,             0.15656,            0.065758,            0.053689,            0.057045,            0.030711,            0.003961,            0.003961,            0.003961
                  63,            0.048537,            0.040887,            0.022111,             0.41096,             0.20467,             0.16218,            0.069804,            0.054024,            0.055902,            0.027231,            0.003862,            0.003862,            0.003862
                  64,             0.04983,            0.039653,            0.021903,             0.39479,             0.23249,             0.16852,            0.074839,            0.053629,            0.055584,             0.03008,            0.003763,            0.003763,            0.003763
                  65,            0.049614,            0.042161,            0.021678,             0.40406,             0.22929,             0.17366,            0.079766,            0.053952,            0.055851,            0.030646,            0.003664,            0.003664,            0.003664
                  66,            0.049437,            0.039734,            0.021067,              0.4087,             0.24089,             0.18366,            0.089778,            0.052829,            0.056223,            0.030176,            0.003565,            0.003565,            0.003565
                  67,            0.047552,            0.040918,             0.02088,             0.39432,             0.22154,             0.17257,             0.08091,            0.053465,            0.057315,            0.030305,            0.003466,            0.003466,            0.003466
                  68,            0.047407,             0.04011,            0.020499,             0.37823,             0.24335,             0.18458,            0.087513,             0.05345,            0.056693,            0.028397,            0.003367,            0.003367,            0.003367
                  69,            0.048004,             0.03843,            0.020217,             0.37239,             0.24475,             0.18159,            0.088169,            0.052921,            0.056143,            0.027943,            0.003268,            0.003268,            0.003268
                  70,            0.049425,            0.041271,            0.020909,             0.36019,             0.22711,              0.1783,            0.084949,            0.052488,            0.056184,            0.032968,            0.003169,            0.003169,            0.003169
                  71,            0.048486,            0.042114,            0.020649,             0.36818,             0.25026,             0.18113,            0.086049,            0.052915,            0.056532,            0.032498,             0.00307,             0.00307,             0.00307
                  72,            0.049068,            0.038126,            0.019805,             0.37108,             0.25401,             0.18634,            0.088786,            0.052902,            0.055768,            0.031901,            0.002971,            0.002971,            0.002971
                  73,            0.048586,            0.039565,            0.019213,             0.39398,             0.25348,             0.19469,            0.095856,            0.053032,               0.055,            0.032163,            0.002872,            0.002872,            0.002872
